Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
PEUGEOT,Petrol,205 PS or 202 bhp or 151 kW @ 6000 rpm,285 Nm or 210 lb.ft @ 1750-4500 rpm,53 L 11.7 UK gallons 14 US gallons,1390 kgOR3064 lbs,235 km/h or 146 Mph,458.5 cm or 180.51 inches,180.4 cmor 71.02 inches,147 cmor 57.87 inches,FWD
PEUGEOT,Petrol,131 PS or 129 bhp or 96 kW @ 5500 rpm,230 Nm or 169 lb.ft @ 1750 rpm,53 L 11.7 UK gallons 14 US gallons,1275 kgOR2811 lbs,198 km/h or 123 Mph,458.5 cm or 180.51 inches,180.4 cmor 71.02 inches,147 cmor 57.87 inches,FWD
PEUGEOT,Petrol,110 PS or 109 bhp or 81 kW @ 5500 rpm,205 Nm or 151 lb.ft @ 1500 rpm,53 L 11.7 UK gallons 14 US gallons,1265 kgOR2789 lbs,188 km/h or 117 Mph,458.5 cm or 180.51 inches,180.4 cmor 71.02 inches,147 cmor 57.87 inches,FWD
PEUGEOT,Petrol,131 PS or 129 bhp or 96 kW @ 5500 rpm,230 Nm or 169 lb.ft @ 1750 rpm,53 L 11.7 UK gallons 14 US gallons,1265 kgOR2789 lbs,199 km/h or 124 Mph,458.5 cm or 180.51 inches,180.4 cmor 71.02 inches,147 cmor 57.87 inches,FWD
PEUGEOT,Diesel,150 PS or 148 bhp or 110 kW @ 3750 rpm,370 Nm or 272 lb.ft @ 2000 rpm,53 L 11.7 UK gallons 14 US gallons,1390 kgOR3064 lbs,210 km/h or 131 Mph,458.5 cm or 180.51 inches,180.4 cmor 71.02 inches,147 cmor 57.87 inches,FWD
PEUGEOT,Diesel,150 PS or 148 bhp or 110 kW @ 3750 rpm,370 Nm or 272 lb.ft @ 2000 rpm,53 L 11.7 UK gallons 14 US gallons,1495 kgOR3296 lbs,209 km/h or 130 Mph,458.5 cm or 180.51 inches,180.4 cmor 71.02 inches,147 cmor 57.87 inches,FWD
PEUGEOT,Diesel,120 PS or 118 bhp or 88 kW @ 3500 rpm,300 Nm or 221 lb.ft @ 1750 rpm,53 L 11.7 UK gallons 14 US gallons,1370 kgOR3020 lbs,189 km/h or 117 Mph,458.5 cm or 180.51 inches,180.4 cmor 71.02 inches,147 cmor 57.87 inches,FWD
PEUGEOT,Diesel,120 PS or 118 bhp or 88 kW @ 3500 rpm,300 Nm or 221 lb.ft @ 1750 rpm,53 L 11.7 UK gallons 14 US gallons,1385 kgOR3053 lbs,189 km/h or 117 Mph,458.5 cm or 180.51 inches,180.4 cmor 71.02 inches,147 cmor 57.87 inches,FWD
PEUGEOT,Diesel,99 PS or 98 bhp or 73 kW @ 3750 rpm,254 Nm or 187 lb.ft @ 1750 rpm,53 L 11.7 UK gallons 14 US gallons,1275 kgOR2811 lbs,184 km/h or 114 Mph,458.5 cm or 180.51 inches,180.4 cmor 71.02 inches,147 cmor 57.87 inches,FWD
PEUGEOT,Petrol,110 PS or 109 bhp or 81 kW @ 5500 rpm,205 Nm or 151 lb.ft @ 1500 rpm,53 L 11.7 UK gallons 14 US gallons,1155 kgOR2546 lbs,188 km/h or 117 Mph,425.3 cm or 167.44 inches,180.4 cmor 71.02 inches,147.2 cmor 57.95 inches,FWD
PEUGEOT,Petrol,131 PS or 129 bhp or 96 kW @ 5500 rpm,230 Nm or 169 lb.ft @ 1750 rpm,53 L 11.7 UK gallons 14 US gallons,1165 kgOR2568 lbs,201 km/h or 125 Mph,425.3 cm or 167.44 inches,180.4 cmor 71.02 inches,147.2 cmor 57.95 inches,FWD
PEUGEOT,Petrol,131 PS or 129 bhp or 96 kW @ 5500 rpm,230 Nm or 169 lb.ft @ 1750 rpm,53 L 11.7 UK gallons 14 US gallons,1225 kgOR2701 lbs,200 km/h or 124 Mph,425.3 cm or 167.44 inches,180.4 cmor 71.02 inches,147.2 cmor 57.95 inches,FWD
PEUGEOT,Petrol,205 PS or 202 bhp or 151 kW @ 6000 rpm,285 Nm or 210 lb.ft @ 1750-4500 rpm,53 L 11.7 UK gallons 14 US gallons,1275 kgOR2811 lbs,235 km/h or 146 Mph,425.3 cm or 167.44 inches,180.4 cmor 71.02 inches,147.2 cmor 57.95 inches,FWD
PEUGEOT,Petrol,272 PS or 268 bhp or 200 kW @ 6000 rpm,330 Nm or 243 lb.ft @ 1900 rpm,53 L 11.7 UK gallons 14 US gallons,1280 kgOR2822 lbs,250 km/h or 155 Mph,425.3 cm or 167.44 inches,180.4 cmor 71.02 inches,147.2 cmor 57.95 inches,FWD
PEUGEOT,Diesel,150 PS or 148 bhp or 110 kW @ 3750 rpm,370 Nm or 272 lb.ft @ 2000 rpm,53 L 11.7 UK gallons 14 US gallons,1365 kgOR3009 lbs,213 km/h or 132 Mph,425.3 cm or 167.44 inches,180.4 cmor 71.02 inches,147.2 cmor 57.95 inches,FWD
PEUGEOT,Diesel,120 PS or 118 bhp or 88 kW @ 3500 rpm,300 Nm or 221 lb.ft @ 1750 rpm,53 L 11.7 UK gallons 14 US gallons,1275 kgOR2811 lbs,190 km/h or 118 Mph,425.3 cm or 167.44 inches,180.4 cmor 71.02 inches,147.2 cmor 57.95 inches,FWD
PEUGEOT,Diesel,120 PS or 118 bhp or 88 kW @ 3500 rpm,300 Nm or 221 lb.ft @ 1750 rpm,53 L 11.7 UK gallons 14 US gallons,1255 kgOR2767 lbs,189 km/h or 117 Mph,425.3 cm or 167.44 inches,180.4 cmor 71.02 inches,147.2 cmor 57.95 inches,FWD
PEUGEOT,Diesel,99 PS or 98 bhp or 73 kW @ 3750 rpm,254 Nm or 187 lb.ft @ 1750 rpm,53 L 11.7 UK gallons 14 US gallons,1235 kgOR2723 lbs,181 km/h or 112 Mph,425.3 cm or 167.44 inches,180.4 cmor 71.02 inches,147.2 cmor 57.95 inches,FWD
PEUGEOT,Diesel,150 PS or 148 bhp or 110 kW @ 3750 rpm,370 Nm or 272 lb.ft @ 2000 rpm,53 L 11.7 UK gallons 14 US gallons,1385 kgOR3053 lbs,211 km/h or 131 Mph,425.3 cm or 167.44 inches,180.4 cmor 71.02 inches,147.2 cmor 57.95 inches,FWD
PEUGEOT,Petrol,131 PS or 129 bhp or 96 kW @ 5500 rpm,230 Nm or 169 lb.ft @ 1750 rpm,53 L 11.7 UK gallons 14 US gallons,1325 kgOR2921 lbs,188 km/h or 117 Mph,444.7 cm or 175.08 inches,184.1 cmor 72.48 inches,162.4 cmor 63.94 inches,FWD
PEUGEOT,Petrol,165 PS or 163 bhp or 121 kW @ 6000 rpm,240 Nm or 177 lb.ft @ 1400 rpm,53 L 11.7 UK gallons 14 US gallons,1375 kgOR3031 lbs,206 km/h or 128 Mph,444.7 cm or 175.08 inches,184.1 cmor 72.48 inches,162.4 cmor 63.94 inches,FWD
PEUGEOT,Petrol,131 PS or 129 bhp or 96 kW @ 5500 rpm,230 Nm or 169 lb.ft @ 1750 rpm,53 L 11.7 UK gallons 14 US gallons,1345 kgOR2965 lbs,188 km/h or 117 Mph,444.7 cm or 175.08 inches,184.1 cmor 72.48 inches,162.4 cmor 63.94 inches,FWD
PEUGEOT,Petrol,131 PS or 129 bhp or 96 kW @ 5500 rpm,230 Nm or 169 lb.ft @ 1750 rpm,53 L 11.7 UK gallons 14 US gallons,1325 kgOR2921 lbs,188 km/h or 117 Mph,444.7 cm or 175.08 inches,184.1 cmor 72.48 inches,162.4 cmor 63.94 inches,FWD
PEUGEOT,Petrol,131 PS or 129 bhp or 96 kW @ 5500 rpm,230 Nm or 169 lb.ft @ 1750 rpm,53 L 11.7 UK gallons 14 US gallons,1345 kgOR2965 lbs,188 km/h or 117 Mph,444.7 cm or 175.08 inches,184.1 cmor 72.48 inches,162.4 cmor 63.94 inches,FWD
PEUGEOT,Diesel,120 PS or 118 bhp or 88 kW @ 3500 rpm,300 Nm or 221 lb.ft @ 1750 rpm,53 L 11.7 UK gallons 14 US gallons,1390 kgOR3064 lbs,185 km/h or 115 Mph,444.7 cm or 175.08 inches,184.1 cmor 72.48 inches,162.4 cmor 63.94 inches,FWD
PEUGEOT,Diesel,120 PS or 118 bhp or 88 kW @ 3500 rpm,300 Nm or 221 lb.ft @ 1750 rpm,53 L 11.7 UK gallons 14 US gallons,1375 kgOR3031 lbs,189 km/h or 117 Mph,444.7 cm or 175.08 inches,184.1 cmor 72.48 inches,162.4 cmor 63.94 inches,FWD
PEUGEOT,Diesel,150 PS or 148 bhp or 110 kW @ 3750 rpm,370 Nm or 272 lb.ft @ 2000 rpm,53 L 11.7 UK gallons 14 US gallons,1500 kgOR3307 lbs,207 km/h or 129 Mph,444.7 cm or 175.08 inches,184.1 cmor 72.48 inches,162.4 cmor 63.94 inches,FWD
PEUGEOT,Diesel,120 PS or 118 bhp or 88 kW @ 3500 rpm,300 Nm or 221 lb.ft @ 1750 rpm,53 L 11.7 UK gallons 14 US gallons,1390 kgOR3064 lbs,185 km/h or 115 Mph,444.7 cm or 175.08 inches,184.1 cmor 72.48 inches,162.4 cmor 63.94 inches,FWD
PEUGEOT,Diesel,181 PS or 179 bhp or 133 kW @ 3750 rpm,400 Nm or 295 lb.ft @ 2000 rpm,53 L 11.7 UK gallons 14 US gallons,1540 kgOR3395 lbs,207 km/h or 129 Mph,444.7 cm or 175.08 inches,184.1 cmor 72.48 inches,162.4 cmor 63.94 inches,FWD
PEUGEOT,Diesel,150 PS or 148 bhp or 110 kW @ 3750 rpm,370 Nm or 272 lb.ft @ 2000 rpm,53 L 11.7 UK gallons 14 US gallons,1500 kgOR3307 lbs,207 km/h or 129 Mph,444.7 cm or 175.08 inches,184.1 cmor 72.48 inches,162.4 cmor 63.94 inches,FWD
PEUGEOT,Diesel,120 PS or 118 bhp or 88 kW @ 3500 rpm,300 Nm or 221 lb.ft @ 1750 rpm,53 L 11.7 UK gallons 14 US gallons,1390 kgOR3064 lbs,185 km/h or 115 Mph,444.7 cm or 175.08 inches,184.1 cmor 72.48 inches,162.4 cmor 63.94 inches,FWD
PEUGEOT,Diesel,99 PS or 98 bhp or 73 kW @ 3750 rpm,254 Nm or 187 lb.ft @ 1750 rpm,,- kgOR- lbs,- km/h or - Mph,444.7 cm or 175.08 inches,184.1 cmor 72.48 inches,162.4 cmor 63.94 inches,FWD
PEUGEOT,Diesel,120 PS or 118 bhp or 88 kW @ 3500 rpm,300 Nm or 221 lb.ft @ 1750 rpm,53 L 11.7 UK gallons 14 US gallons,1375 kgOR3031 lbs,189 km/h or 117 Mph,444.7 cm or 175.08 inches,184.1 cmor 72.48 inches,162.4 cmor 63.94 inches,FWD
PEUGEOT,Diesel,150 PS or 148 bhp or 110 kW @ 3750 rpm,370 Nm or 272 lb.ft @ 2000 rpm,53 L 11.7 UK gallons 14 US gallons,1500 kgOR3307 lbs,207 km/h or 129 Mph,444.7 cm or 175.08 inches,184.1 cmor 72.48 inches,162.4 cmor 63.94 inches,FWD
PEUGEOT,Petrol,131 PS or 129 bhp or 96 kW @ 5500 rpm,230 Nm or 169 lb.ft @ 1750 rpm,56 L 12.3 UK gallons 14.8 US gallons,1385 kgOR3053 lbs,188 km/h or 117 Mph,464.1 cm or 182.72 inches,184.4 cmor 72.6 inches,165.1 cmor 65 inches,FWD
PEUGEOT,Petrol,131 PS or 129 bhp or 96 kW @ 5500 rpm,230 Nm or 169 lb.ft @ 1750 rpm,56 L 12.3 UK gallons 14.8 US gallons,1392 kgOR3069 lbs,188 km/h or 117 Mph,464.1 cm or 182.72 inches,184.4 cmor 72.6 inches,165.1 cmor 65 inches,FWD
PEUGEOT,Petrol,165 PS or 163 bhp or 121 kW @ 6000 rpm,240 Nm or 177 lb.ft @ 1400 rpm,56 L 12.3 UK gallons 14.8 US gallons,1440 kgOR3175 lbs,206 km/h or 128 Mph,464.1 cm or 182.72 inches,184.4 cmor 72.6 inches,165.1 cmor 65 inches,FWD
PEUGEOT,Petrol,165 PS or 163 bhp or 121 kW @ 6000 rpm,240 Nm or 177 lb.ft @ 1400 rpm,56 L 12.3 UK gallons 14.8 US gallons,1440 kgOR3175 lbs,206 km/h or 128 Mph,464.1 cm or 182.72 inches,184.4 cmor 72.6 inches,165.1 cmor 65 inches,FWD
PEUGEOT,Petrol,131 PS or 129 bhp or 96 kW @ 5500 rpm,230 Nm or 169 lb.ft @ 1750 rpm,56 L 12.3 UK gallons 14.8 US gallons,1385 kgOR3053 lbs,188 km/h or 117 Mph,464.1 cm or 182.72 inches,184.4 cmor 72.6 inches,165.1 cmor 65 inches,FWD
PEUGEOT,Diesel,181 PS or 179 bhp or 133 kW @ 3750 rpm,400 Nm or 295 lb.ft @ 2000 rpm,53 L 11.7 UK gallons 14 US gallons,1605 kgOR3538 lbs,208 km/h or 129 Mph,464.1 cm or 182.72 inches,184.4 cmor 72.6 inches,165.1 cmor 65 inches,FWD
PEUGEOT,Diesel,150 PS or 148 bhp or 110 kW @ 4000 rpm,370 Nm or 272 lb.ft @ 2000 rpm,56 L 12.3 UK gallons 14.8 US gallons,1565 kgOR3450 lbs,206 km/h or 128 Mph,464.1 cm or 182.72 inches,184.4 cmor 72.6 inches,165.1 cmor 65 inches,FWD
PEUGEOT,Diesel,120 PS or 118 bhp or 88 kW @ 3500 rpm,300 Nm or 221 lb.ft @ 1750 rpm,56 L 12.3 UK gallons 14.8 US gallons,1455 kgOR3208 lbs,184 km/h or 114 Mph,464.1 cm or 182.72 inches,184.4 cmor 72.6 inches,165.1 cmor 65 inches,FWD
PEUGEOT,Diesel,120 PS or 118 bhp or 88 kW @ 3500 rpm,300 Nm or 221 lb.ft @ 1750 rpm,56 L 12.3 UK gallons 14.8 US gallons,1440 kgOR3175 lbs,188 km/h or 117 Mph,464.1 cm or 182.72 inches,184.4 cmor 72.6 inches,165.1 cmor 65 inches,FWD
