Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
PORSCHE,Petrol,349 PS or 344 bhp or 257 kW @ 6500 rpm,420 Nm or 309 lb.ft @ 1900-4500 rpm,64 L 14.1 UK gallons 16.9 US gallons,1460 kgOR3219 lbs,285 km/h or 177 Mph,437.9 cm or 172.4 inches,180.1 cmor 70.91 inches,129.5 cmor 50.98 inches,RWD
PORSCHE,Petrol,299 PS or 295 bhp or 220 kW @ 6500 rpm,380 Nm or 280 lb.ft @ 1950-4500 rpm,54 L 11.9 UK gallons 14.3 US gallons,1410 kgOR3109 lbs,275 km/h or 171 Mph,437.9 cm or 172.4 inches,180.1 cmor 70.91 inches,129.5 cmor 50.98 inches,RWD
PORSCHE,Petrol,299 PS or 295 bhp or 220 kW @ 6500 rpm,380 Nm or 280 lb.ft @ 1950-4500 rpm,54 L 11.9 UK gallons 14.3 US gallons,1440 kgOR3175 lbs,275 km/h or 171 Mph,437.9 cm or 172.4 inches,180.1 cmor 70.91 inches,129.5 cmor 50.98 inches,RWD
PORSCHE,Petrol,349 PS or 344 bhp or 257 kW @ 6500 rpm,420 Nm or 309 lb.ft @ 1900-4500 rpm,64 L 14.1 UK gallons 16.9 US gallons,1430 kgOR3153 lbs,285 km/h or 177 Mph,437.9 cm or 172.4 inches,180.1 cmor 70.91 inches,129.5 cmor 50.98 inches,RWD
PORSCHE,Petrol,441 PS or 435 bhp or 324 kW @ 5650-6600 rpm,550 Nm or 405 lb.ft @ 1750-5500 rpm,75 L 16.5 UK gallons 19.8 US gallons,1945 kgOR4288 lbs,289 km/h or 180 Mph,504.9 cm or 198.78 inches,193.7 cmor 76.26 inches,142.3 cmor 56.02 inches,AWD
PORSCHE,Petrol,549 PS or 542 bhp or 404 kW @ 5750-6000 rpm,770 Nm or 567 lb.ft @ 1960-4500 rpm,90 L 19.8 UK gallons 23.8 US gallons,2070 kgOR4564 lbs,306 km/h or 190 Mph,504.9 cm or 198.78 inches,193.7 cmor 76.26 inches,142.7 cmor 56.18 inches,AWD
PORSCHE,Petrol,330 PS or 326 bhp or 243 kW @ 5400-6400 rpm,450 Nm or 331 lb.ft @ 1340-4900 rpm,75 L 16.5 UK gallons 19.8 US gallons,1890 kgOR4167 lbs,264 km/h or 164 Mph,504.9 cm or 198.78 inches,193.7 cmor 76.26 inches,142.3 cmor 56.02 inches,RWD
PORSCHE,Petrol,330 PS or 326 bhp or 243 kW @ 5400-6400 rpm,450 Nm or 331 lb.ft @ 1340-4900 rpm,75 L 16.5 UK gallons 19.8 US gallons,1925 kgOR4244 lbs,262 km/h or 163 Mph,504.9 cm or 198.78 inches,193.7 cmor 76.26 inches,142.3 cmor 56.02 inches,AWD
PORSCHE,Diesel,421 PS or 415 bhp or 310 kW @ 3500-5000 rpm,850 Nm or 626 lb.ft @ 1000-3250 rpm,75 L 16.5 UK gallons 19.8 US gallons,2125 kgOR4685 lbs,285 km/h or 177 Mph,504.9 cm or 198.78 inches,193.7 cmor 76.26 inches,142.3 cmor 56.02 inches,AWD
PORSCHE,Petrol,299 PS or 295 bhp or 220 kW @ 6500 rpm,380 Nm or 280 lb.ft @ 1950-4500 rpm,54 L 11.9 UK gallons 14.3 US gallons,1440 kgOR3175 lbs,275 km/h or 171 Mph,437.9 cm or 172.4 inches,180.1 cmor 70.91 inches,128.1 cmor 50.43 inches,RWD
PORSCHE,Petrol,349 PS or 344 bhp or 257 kW @ 6500 rpm,420 Nm or 309 lb.ft @ 1900-4500 rpm,64 L 14.1 UK gallons 16.9 US gallons,1430 kgOR3153 lbs,285 km/h or 177 Mph,437.9 cm or 172.4 inches,180.1 cmor 70.91 inches,128 cmor 50.39 inches,RWD
PORSCHE,Petrol,349 PS or 344 bhp or 257 kW @ 6500 rpm,420 Nm or 309 lb.ft @ 1900-4500 rpm,64 L 14.1 UK gallons 16.9 US gallons,1460 kgOR3219 lbs,285 km/h or 177 Mph,437.9 cm or 172.4 inches,180.1 cmor 70.91 inches,128 cmor 50.39 inches,RWD
PORSCHE,Petrol,441 PS or 435 bhp or 324 kW @ 5650-6600 rpm,550 Nm or 405 lb.ft @ 1750-5500 rpm,75 L 16.5 UK gallons 19.8 US gallons,2055 kgOR4530 lbs,289 km/h or 180 Mph,519.9 cm or 204.69 inches,193.7 cmor 76.26 inches,142.8 cmor 56.22 inches,AWD
PORSCHE,Petrol,330 PS or 326 bhp or 243 kW @ 5400-6400 rpm,450 Nm or 331 lb.ft @ 1340-4900 rpm,75 L 16.5 UK gallons 19.8 US gallons,2010 kgOR4431 lbs,262 km/h or 163 Mph,519.9 cm or 204.69 inches,193.7 cmor 76.26 inches,142.8 cmor 56.22 inches,AWD
PORSCHE,Petrol,549 PS or 542 bhp or 404 kW @ 5750-6000 rpm,770 Nm or 567 lb.ft @ 1960-4500 rpm,90 L 19.8 UK gallons 23.8 US gallons,2175 kgOR4795 lbs,306 km/h or 190 Mph,519.9 cm or 204.69 inches,193.7 cmor 76.26 inches,143.2 cmor 56.38 inches,AWD
PORSCHE,Petrol,370 PS or 365 bhp or 272 kW @ 6500 rpm,450 Nm or 331 lb.ft @ 1700-5000 rpm,68 L 15 UK gallons 18 US gallons,1625 kgOR3583 lbs,289 km/h or 180 Mph,449.9 cm or 177.13 inches,185.2 cmor 72.91 inches,129 cmor 50.79 inches,AWD
PORSCHE,Petrol,370 PS or 365 bhp or 272 kW @ 6500 rpm,450 Nm or 331 lb.ft @ 1700-5000 rpm,68 L 15 UK gallons 18 US gallons,1645 kgOR3627 lbs,287 km/h or 178 Mph,449.9 cm or 177.13 inches,185.2 cmor 72.91 inches,129 cmor 50.79 inches,AWD
PORSCHE,Petrol,420 PS or 414 bhp or 309 kW @ 6500 rpm,500 Nm or 368 lb.ft @ 1700-5000 rpm,68 L 15 UK gallons 18 US gallons,1655 kgOR3649 lbs,301 km/h or 187 Mph,449.9 cm or 177.13 inches,185.2 cmor 72.91 inches,129.3 cmor 50.91 inches,AWD
PORSCHE,Petrol,420 PS or 414 bhp or 309 kW @ 6500 rpm,500 Nm or 368 lb.ft @ 1700-5000 rpm,64 L 14.1 UK gallons 16.9 US gallons,1605 kgOR3538 lbs,304 km/h or 189 Mph,449.9 cm or 177.13 inches,180.8 cmor 71.18 inches,129.1 cmor 50.83 inches,RWD
PORSCHE,Petrol,370 PS or 365 bhp or 272 kW @ 6500 rpm,450 Nm or 331 lb.ft @ 1700-5000 rpm,64 L 14.1 UK gallons 16.9 US gallons,195 kgOR430 lbs,290 km/h or 180 Mph,449.9 cm or 177.13 inches,180.8 cmor 71.18 inches,128.9 cmor 50.75 inches,RWD
PORSCHE,Petrol,420 PS or 414 bhp or 309 kW @ 6500 rpm,500 Nm or 368 lb.ft @ 1700-5000 rpm,64 L 14.1 UK gallons 16.9 US gallons,1585 kgOR3494 lbs,306 km/h or 190 Mph,449.9 cm or 177.13 inches,180.8 cmor 71.18 inches,129.1 cmor 50.83 inches,RWD
PORSCHE,Petrol,370 PS or 365 bhp or 272 kW @ 6500 rpm,450 Nm or 331 lb.ft @ 1700-5000 rpm,64 L 14.1 UK gallons 16.9 US gallons,1575 kgOR3472 lbs,292 km/h or 181 Mph,449.9 cm or 177.13 inches,180.8 cmor 71.18 inches,128.9 cmor 50.75 inches,RWD
PORSCHE,Petrol,540 PS or 533 bhp or 397 kW @ 6400 rpm,710 Nm or 523 lb.ft @ 2250-4250 rpm,68 L 15 UK gallons 18 US gallons,1740 kgOR3836 lbs,320 km/h or 199 Mph,450.7 cm or 177.44 inches,188 cmor 74.02 inches,129.4 cmor 50.94 inches,AWD
PORSCHE,Petrol,581 PS or 573 bhp or 427 kW @ 6750 rpm,750 Nm or 553 lb.ft @ 2200-4000 rpm,68 L 15 UK gallons 18 US gallons,1745 kgOR3847 lbs,330 km/h or 205 Mph,450.7 cm or 177.44 inches,188 cmor 74.02 inches,129.4 cmor 50.94 inches,AWD
PORSCHE,Petrol,420 PS or 414 bhp or 309 kW @ 6500 rpm,500 Nm or 368 lb.ft @ 1700-5000 rpm,68 L 15 UK gallons 18 US gallons,1635 kgOR3605 lbs,303 km/h or 188 Mph,449.9 cm or 177.13 inches,185.2 cmor 72.91 inches,129.3 cmor 50.91 inches,AWD
PORSCHE,Petrol,450 PS or 444 bhp or 331 kW @ 6500 rpm,550 Nm or 405 lb.ft @ 2150-5000 rpm,64 L 14.1 UK gallons 16.9 US gallons,1615 kgOR3560 lbs,308 km/h or 191 Mph,452.8 cm or 178.27 inches,185.2 cmor 72.91 inches,129.1 cmor 50.83 inches,RWD
PORSCHE,Petrol,450 PS or 444 bhp or 331 kW @ 6500 rpm,550 Nm or 405 lb.ft @ 2150-5000 rpm,67 L 14.7 UK gallons 17.7 US gallons,1660 kgOR3660 lbs,306 km/h or 190 Mph,452.8 cm or 178.27 inches,185.2 cmor 72.91 inches,129.3 cmor 50.91 inches,AWD
PORSCHE,Petrol,450 PS or 444 bhp or 331 kW @ 6500 rpm,550 Nm or 405 lb.ft @ 2150-5000 rpm,67 L 14.7 UK gallons 17.7 US gallons,1640 kgOR3616 lbs,308 km/h or 191 Mph,452.8 cm or 178.27 inches,185.2 cmor 72.91 inches,129.3 cmor 50.91 inches,AWD
PORSCHE,Petrol,450 PS or 444 bhp or 331 kW @ 6500 rpm,550 Nm or 405 lb.ft @ 2150-5000 rpm,64 L 14.1 UK gallons 16.9 US gallons,1595 kgOR3516 lbs,310 km/h or 193 Mph,452.8 cm or 178.27 inches,185.2 cmor 72.91 inches,129.1 cmor 50.83 inches,RWD
PORSCHE,Petrol,370 PS or 365 bhp or 272 kW @ 6500 rpm,450 Nm or 331 lb.ft @ 1700-5000 rpm,68 L 15 UK gallons 18 US gallons,1575 kgOR3472 lbs,290 km/h or 180 Mph,449.9 cm or 177.13 inches,185.2 cmor 72.91 inches,129.5 cmor 50.98 inches,AWD
PORSCHE,Petrol,420 PS or 414 bhp or 309 kW @ 6500 rpm,500 Nm or 368 lb.ft @ 1700-5000 rpm,68 L 15 UK gallons 18 US gallons,1585 kgOR3494 lbs,303 km/h or 188 Mph,449.9 cm or 177.13 inches,185.2 cmor 72.91 inches,129.8 cmor 51.1 inches,AWD
PORSCHE,Petrol,420 PS or 414 bhp or 309 kW @ 6500 rpm,500 Nm or 368 lb.ft @ 1700-5000 rpm,68 L 15 UK gallons 18 US gallons,1565 kgOR3450 lbs,305 km/h or 190 Mph,449.9 cm or 177.13 inches,185.2 cmor 72.91 inches,129.8 cmor 51.1 inches,AWD
