Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
ROVER,Petrol,85 PS or 84 bhp or 63 kW @ 5500 rpm,120 Nm or 88 lb.ft @ 3500 rpm,37 L 8.1 UK gallons 9.8 US gallons,1030 kgOR2271 lbs,160 km/h or 99 Mph,370 cm or 145.67 inches,- cmor - inches,- cmor - inches,FWD
ROVER,Petrol,85 PS or 84 bhp or 63 kW @ 5500 rpm,120 Nm or 88 lb.ft @ 3500 rpm,37 L 8.1 UK gallons 9.8 US gallons,1030 kgOR2271 lbs,160 km/h or 99 Mph,370 cm or 145.67 inches,- cmor - inches,- cmor - inches,FWD
ROVER,Diesel,113 PS or 111 bhp or 83 kW @ 4200 rpm,240 Nm or 177 lb.ft @ 2000 rpm,55 L 12.1 UK gallons 14.5 US gallons,1305 kgOR2877 lbs,185 km/h or 115 Mph,436 cm or 171.65 inches,170 cmor 66.93 inches,139 cmor 54.72 inches,FWD
ROVER,Diesel,113 PS or 111 bhp or 83 kW @ 4200 rpm,240 Nm or 177 lb.ft @ 2000 rpm,55 L 12.1 UK gallons 14.5 US gallons,1305 kgOR2877 lbs,185 km/h or 115 Mph,436 cm or 171.65 inches,170 cmor 66.93 inches,139 cmor 54.72 inches,FWD
ROVER,Petrol,103 PS or 102 bhp or 76 kW @ 6000 rpm,123 Nm or 90 lb.ft @ 4500 rpm,50 L 11 UK gallons 13.2 US gallons,1015 kgOR2238 lbs,174 km/h or 108 Mph,398 cm or 156.69 inches,169 cmor 66.54 inches,150 cmor 59.06 inches,FWD
ROVER,Petrol,103 PS or 102 bhp or 76 kW @ 6000 rpm,123 Nm or 90 lb.ft @ 4500 rpm,50 L 11 UK gallons 13.2 US gallons,1015 kgOR2238 lbs,174 km/h or 108 Mph,398 cm or 156.69 inches,169 cmor 66.54 inches,150 cmor 59.06 inches,FWD
ROVER,Petrol,115 PS or 113 bhp or 85 kW @ 5500 rpm,160 Nm or 118 lb.ft @ 2750 rpm,50 L 11 UK gallons 13.2 US gallons,1055 kgOR2326 lbs,179 km/h or 111 Mph,398 cm or 156.69 inches,169 cmor 66.54 inches,150 cmor 59.06 inches,FWD
ROVER,Petrol,115 PS or 113 bhp or 85 kW @ 5500 rpm,160 Nm or 118 lb.ft @ 2750 rpm,50 L 11 UK gallons 13.2 US gallons,1055 kgOR2326 lbs,179 km/h or 111 Mph,398 cm or 156.69 inches,169 cmor 66.54 inches,150 cmor 59.06 inches,FWD
ROVER,Petrol,108 PS or 107 bhp or 79 kW @ 6000 rpm,138 Nm or 101 lb.ft @ 4500 rpm,50 L 11 UK gallons 13.2 US gallons,1020 kgOR2249 lbs,185 km/h or 115 Mph,398 cm or 156.69 inches,169 cmor 66.54 inches,150 cmor 59.06 inches,FWD
ROVER,Petrol,108 PS or 107 bhp or 79 kW @ 6000 rpm,138 Nm or 101 lb.ft @ 4500 rpm,50 L 11 UK gallons 13.2 US gallons,1020 kgOR2249 lbs,185 km/h or 115 Mph,398 cm or 156.69 inches,169 cmor 66.54 inches,150 cmor 59.06 inches,FWD
ROVER,Diesel,101 PS or 100 bhp or 74 kW @ 4200 rpm,240 Nm or 177 lb.ft @ 2000 rpm,50 L 11 UK gallons 13.2 US gallons,1120 kgOR2469 lbs,178 km/h or 111 Mph,398 cm or 156.69 inches,169 cmor 66.54 inches,150 cmor 59.06 inches,FWD
ROVER,Diesel,101 PS or 100 bhp or 74 kW @ 4200 rpm,240 Nm or 177 lb.ft @ 2000 rpm,50 L 11 UK gallons 13.2 US gallons,1120 kgOR2469 lbs,178 km/h or 111 Mph,398 cm or 156.69 inches,169 cmor 66.54 inches,150 cmor 59.06 inches,FWD
ROVER,Petrol,103 PS or 102 bhp or 76 kW @ 6000 rpm,123 Nm or 90 lb.ft @ 4500 rpm,50 L 11 UK gallons 13.2 US gallons,1020 kgOR2249 lbs,185 km/h or 115 Mph,399 cm or 157.09 inches,169 cmor 66.54 inches,142 cmor 55.91 inches,FWD
ROVER,Petrol,103 PS or 102 bhp or 76 kW @ 6000 rpm,123 Nm or 90 lb.ft @ 4500 rpm,50 L 11 UK gallons 13.2 US gallons,1020 kgOR2249 lbs,185 km/h or 115 Mph,399 cm or 157.09 inches,169 cmor 66.54 inches,142 cmor 55.91 inches,FWD
