Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
SAAB,Petrol,265 PS or 261 bhp or 195 kW @ 6900 rpm,302 Nm or 222 lb.ft @ 5200 rpm,80 L 17.6 UK gallons 21.1 US gallons,2010 kgOR4431 lbs,210 km/h or 131 Mph,482.8 cm or 190.08 inches,190.5 cmor 75 inches,171.1 cmor 67.36 inches,AWD
SAAB,Petrol,265 PS or 261 bhp or 195 kW @ 6900 rpm,302 Nm or 222 lb.ft @ 5200 rpm,80 L 17.6 UK gallons 21.1 US gallons,2010 kgOR4431 lbs,210 km/h or 131 Mph,482.8 cm or 190.08 inches,190.5 cmor 75 inches,171.1 cmor 67.36 inches,AWD
SAAB,Petrol,300 PS or 296 bhp or 221 kW @ 5500 rpm,400 Nm or 295 lb.ft @ 2000-5000 rpm,80 L 17.6 UK gallons 21.1 US gallons,2085 kgOR4597 lbs,230 km/h or 143 Mph,482.8 cm or 190.08 inches,190.5 cmor 75 inches,171.1 cmor 67.36 inches,AWD
SAAB,Petrol or Ethanol,220 PS or 217 bhp or 162 kW @ 5300 rpm,350 Nm or 258 lb.ft @ 2500 rpm,70 L 15.4 UK gallons 18.5 US gallons,1725 kgOR3803 lbs,240 km/h or 149 Mph,500.8 cm or 197.17 inches,186.8 cmor 73.54 inches,146.6 cmor 57.72 inches,FWD
SAAB,Petrol or Ethanol,220 PS or 217 bhp or 162 kW @ 5300 rpm,350 Nm or 258 lb.ft @ 2500 rpm,70 L 15.4 UK gallons 18.5 US gallons,1860 kgOR4101 lbs,230 km/h or 143 Mph,500.8 cm or 197.17 inches,186.8 cmor 73.54 inches,145.6 cmor 57.32 inches,AWD
SAAB,Petrol or Ethanol,220 PS or 217 bhp or 162 kW @ 5300 rpm,350 Nm or 258 lb.ft @ 2500 rpm,70 L 15.4 UK gallons 18.5 US gallons,1750 kgOR3858 lbs,235 km/h or 146 Mph,500.8 cm or 197.17 inches,186.8 cmor 73.54 inches,146.6 cmor 57.72 inches,FWD
SAAB,Petrol or Ethanol,220 PS or 217 bhp or 162 kW @ 5300 rpm,350 Nm or 258 lb.ft @ 2500 rpm,70 L 15.4 UK gallons 18.5 US gallons,1835 kgOR4045 lbs,230 km/h or 143 Mph,500.8 cm or 197.17 inches,186.8 cmor 73.54 inches,145.6 cmor 57.32 inches,AWD
SAAB,Petrol or Ethanol,220 PS or 217 bhp or 162 kW @ 5300 rpm,350 Nm or 258 lb.ft @ 2500 rpm,70 L 15.4 UK gallons 18.5 US gallons,1725 kgOR3803 lbs,240 km/h or 149 Mph,500.8 cm or 197.17 inches,186.8 cmor 73.54 inches,146.6 cmor 57.72 inches,FWD
SAAB,Petrol or Ethanol,220 PS or 217 bhp or 162 kW @ 5300 rpm,350 Nm or 258 lb.ft @ 2500 rpm,70 L 15.4 UK gallons 18.5 US gallons,1750 kgOR3858 lbs,235 km/h or 146 Mph,500.8 cm or 197.17 inches,186.8 cmor 73.54 inches,146.6 cmor 57.72 inches,FWD
SAAB,Petrol,220 PS or 217 bhp or 162 kW @ 5300 rpm,350 Nm or 258 lb.ft @ 2500 rpm,70 L 15.4 UK gallons 18.5 US gallons,-- kgOR0 lbs,230 km/h or 143 Mph,500.8 cm or 197.17 inches,186.8 cmor 73.54 inches,145.6 cmor 57.32 inches,AWD
