Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
SEAT,Petrol,75 PS or 74 bhp or 55 kW @ 6200 rpm,95 Nm or 70 lb.ft @ 3000-4300 rpm,40 L 8.8 UK gallons 10.6 US gallons,1091 kgOR2405 lbs,167 km/h or 104 Mph,405.9 cm or 159.8 inches,178 cmor 70.08 inches,144.4 cmor 56.85 inches,FWD
SEAT,Petrol,95 PS or 94 bhp or 70 kW @ 5000-5500 rpm,175 Nm or 129 lb.ft @ 1500-3500 rpm,40 L 8.8 UK gallons 10.6 US gallons,1122 kgOR2474 lbs,182 km/h or 113 Mph,405.9 cm or 159.8 inches,178 cmor 70.08 inches,144.4 cmor 56.85 inches,FWD
SEAT,Petrol,116 PS or 114 bhp or 85 kW @ 5000-5500 rpm,200 Nm or 147 lb.ft @ 2000-3500 rpm,40 L 8.8 UK gallons 10.6 US gallons,1140 kgOR2513 lbs,195 km/h or 121 Mph,405.9 cm or 159.8 inches,178 cmor 70.08 inches,144.4 cmor 56.85 inches,FWD
SEAT,Petrol,116 PS or 114 bhp or 85 kW @ 5000-5500 rpm,200 Nm or 147 lb.ft @ 2000-3500 rpm,40 L 8.8 UK gallons 10.6 US gallons,1140 kgOR2513 lbs,195 km/h or 121 Mph,405.9 cm or 159.8 inches,178 cmor 70.08 inches,144.4 cmor 56.85 inches,FWD
SEAT,Petrol or CNG,110 PS or 109 bhp or 81 kW @ 4800-6000 rpm,200 Nm or 147 lb.ft @ 1500-3500 rpm,,1395 kgOR3075 lbs,194 km/h or 121 Mph,454.9 cm or 179.09 inches,181.6 cmor 71.5 inches,145.4 cmor 57.24 inches,FWD
SEAT,Petrol or CNG,110 PS or 109 bhp or 81 kW @ 4800-6000 rpm,200 Nm or 147 lb.ft @ 1500-3500 rpm,,1421 kgOR3133 lbs,194 km/h or 121 Mph,454.9 cm or 179.09 inches,181.6 cmor 71.5 inches,145.4 cmor 57.24 inches,FWD
SEAT,Petrol,179 PS or 177 bhp or 132 kW @ 5100-6200 rpm,250 Nm or 184 lb.ft @ 1250-5000 rpm,50 L 11 UK gallons 13.2 US gallons,1372 kgOR3025 lbs,224 km/h or 139 Mph,454.9 cm or 179.09 inches,181.6 cmor 71.5 inches,145.4 cmor 57.24 inches,FWD
SEAT,Petrol,179 PS or 177 bhp or 132 kW @ 5100-6200 rpm,250 Nm or 184 lb.ft @ 1250-5000 rpm,50 L 11 UK gallons 13.2 US gallons,1355 kgOR2987 lbs,226 km/h or 140 Mph,454.9 cm or 179.09 inches,181.6 cmor 71.5 inches,145.4 cmor 57.24 inches,FWD
SEAT,Petrol,150 PS or 148 bhp or 110 kW @ 5000-6000 rpm,250 Nm or 184 lb.ft @ 1500-3500 rpm,50 L 11 UK gallons 13.2 US gallons,1297 kgOR2859 lbs,215 km/h or 134 Mph,454.9 cm or 179.09 inches,181.6 cmor 71.5 inches,145.4 cmor 57.24 inches,FWD
SEAT,Petrol,150 PS or 148 bhp or 110 kW @ 5000-6000 rpm,250 Nm or 184 lb.ft @ 1500-3500 rpm,50 L 11 UK gallons 13.2 US gallons,1277 kgOR2815 lbs,215 km/h or 134 Mph,454.9 cm or 179.09 inches,181.6 cmor 71.5 inches,145.4 cmor 57.24 inches,FWD
SEAT,Petrol,125 PS or 123 bhp or 92 kW @ 5000-6000 rpm,200 Nm or 147 lb.ft @ 1400-4000 rpm,50 L 11 UK gallons 13.2 US gallons,1257 kgOR2771 lbs,203 km/h or 126 Mph,454.9 cm or 179.09 inches,181.6 cmor 71.5 inches,145.4 cmor 57.24 inches,FWD
SEAT,Petrol,179 PS or 177 bhp or 132 kW @ 5100-6200 rpm,250 Nm or 184 lb.ft @ 1250-5000 rpm,50 L 11 UK gallons 13.2 US gallons,1355 kgOR2987 lbs,226 km/h or 140 Mph,454.8 cm or 179.06 inches,181.6 cmor 71.5 inches,143.9 cmor 56.65 inches,FWD
SEAT,Petrol,150 PS or 148 bhp or 110 kW @ 5000-6000 rpm,250 Nm or 184 lb.ft @ 1500-3500 rpm,50 L 11 UK gallons 13.2 US gallons,1297 kgOR2859 lbs,215 km/h or 134 Mph,454.8 cm or 179.06 inches,181.6 cmor 71.5 inches,143.9 cmor 56.65 inches,FWD
SEAT,Petrol,150 PS or 148 bhp or 110 kW @ 5000-6000 rpm,250 Nm or 184 lb.ft @ 1500-3500 rpm,50 L 11 UK gallons 13.2 US gallons,1277 kgOR2815 lbs,215 km/h or 134 Mph,454.8 cm or 179.06 inches,181.6 cmor 71.5 inches,143.9 cmor 56.65 inches,FWD
SEAT,Petrol,110 PS or 109 bhp or 81 kW @ 4600-5600 rpm,175 Nm or 129 lb.ft @ 1400-4000 rpm,50 L 11 UK gallons 13.2 US gallons,1247 kgOR2749 lbs,194 km/h or 121 Mph,454.9 cm or 179.09 inches,181.6 cmor 71.5 inches,145.4 cmor 57.24 inches,FWD
SEAT,Petrol,300 PS or 296 bhp or 221 kW @ 5600-6200 rpm,380 Nm or 280 lb.ft @ 1800-5500 rpm,50 L 11 UK gallons 13.2 US gallons,1440 kgOR3175 lbs,250 km/h or 155 Mph,454.8 cm or 179.06 inches,181.6 cmor 71.5 inches,143.1 cmor 56.34 inches,FWD
SEAT,Petrol,300 PS or 296 bhp or 221 kW @ 5600-6200 rpm,380 Nm or 280 lb.ft @ 1800-5500 rpm,55 L 12.1 UK gallons 14.5 US gallons,1466 kgOR3232 lbs,250 km/h or 155 Mph,454.8 cm or 179.06 inches,181.6 cmor 71.5 inches,143.1 cmor 56.34 inches,AWD
SEAT,Petrol,300 PS or 296 bhp or 221 kW @ 5600-6200 rpm,380 Nm or 280 lb.ft @ 1800-5500 rpm,50 L 11 UK gallons 13.2 US gallons,1545 kgOR3406 lbs,250 km/h or 155 Mph,454.8 cm or 179.06 inches,181.6 cmor 71.5 inches,143.1 cmor 56.34 inches,FWD
SEAT,Diesel,184 PS or 181 bhp or 135 kW @ 3500-4000 rpm,380 Nm or 280 lb.ft @ 1750-3000 rpm,50 L 11 UK gallons 13.2 US gallons,1435 kgOR3164 lbs,226 km/h or 140 Mph,454.8 cm or 179.06 inches,181.6 cmor 71.5 inches,143.9 cmor 56.65 inches,FWD
SEAT,Diesel,184 PS or 181 bhp or 135 kW @ 3500-4000 rpm,380 Nm or 280 lb.ft @ 1750-3000 rpm,50 L 11 UK gallons 13.2 US gallons,1415 kgOR3120 lbs,228 km/h or 142 Mph,454.8 cm or 179.06 inches,181.6 cmor 71.5 inches,143.9 cmor 56.65 inches,FWD
