Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
SKODA,Petrol or CNG,110 PS or 109 bhp or 81 kW @ 4800-6000 rpm,200 Nm or 147 lb.ft @ 1500-3500 rpm,,1441 kgOR3177 lbs,193 km/h or 120 Mph,466.7 cm or 183.74 inches,181.4 cmor 71.42 inches,146.2 cmor 57.56 inches,FWD
SKODA,Petrol or CNG,110 PS or 109 bhp or 81 kW @ 4800-6000 rpm,200 Nm or 147 lb.ft @ 1500-3500 rpm,,1416 kgOR3122 lbs,193 km/h or 120 Mph,466.7 cm or 183.74 inches,181.4 cmor 71.42 inches,146.2 cmor 57.56 inches,FWD
SKODA,Petrol,179 PS or 177 bhp or 132 kW @ 5100-6200 rpm,250 Nm or 184 lb.ft @ 1250-5000 rpm,50 L 11 UK gallons 13.2 US gallons,1342 kgOR2959 lbs,229 km/h or 142 Mph,466.7 cm or 183.74 inches,181.4 cmor 71.42 inches,146.5 cmor 57.68 inches,FWD
SKODA,Petrol,230 PS or 227 bhp or 169 kW @ 4700-6200 rpm,350 Nm or 258 lb.ft @ 1500-4600 rpm,50 L 11 UK gallons 13.2 US gallons,1442 kgOR3179 lbs,247 km/h or 154 Mph,468.5 cm or 184.45 inches,181.4 cmor 71.42 inches,145.2 cmor 57.17 inches,FWD
SKODA,Petrol,230 PS or 227 bhp or 169 kW @ 4700-6200 rpm,350 Nm or 258 lb.ft @ 1500-4600 rpm,50 L 11 UK gallons 13.2 US gallons,1462 kgOR3223 lbs,245 km/h or 152 Mph,468.5 cm or 184.45 inches,181.4 cmor 71.42 inches,145.2 cmor 57.17 inches,FWD
SKODA,Petrol,245 PS or 242 bhp or 180 kW @ -- rpm,370 Nm or 272 lb.ft @ 1600-4300 rpm,50 L 11 UK gallons 13.2 US gallons,- kgOR- lbs,250 km/h or 155 Mph,468.5 cm or 184.45 inches,181.4 cmor 71.42 inches,- cmor - inches,FWD
SKODA,Petrol,245 PS or 242 bhp or 180 kW @ -- rpm,370 Nm or 272 lb.ft @ 1600-4300 rpm,50 L 11 UK gallons 13.2 US gallons,- kgOR- lbs,250 km/h or 155 Mph,468.5 cm or 184.45 inches,181.4 cmor 71.42 inches,- cmor - inches,FWD
SKODA,Petrol,150 PS or 148 bhp or 110 kW @ 5000-6000 rpm,250 Nm or 184 lb.ft @ 1500-3500 rpm,50 L 11 UK gallons 13.2 US gallons,1291 kgOR2846 lbs,216 km/h or 134 Mph,466.7 cm or 183.74 inches,181.4 cmor 71.42 inches,146.5 cmor 57.68 inches,FWD
SKODA,Petrol,116 PS or 114 bhp or 85 kW @ 5000-5500 rpm,200 Nm or 147 lb.ft @ 2000-3500 rpm,50 L 11 UK gallons 13.2 US gallons,1269 kgOR2798 lbs,200 km/h or 124 Mph,466.7 cm or 183.74 inches,181.4 cmor 71.42 inches,146.5 cmor 57.68 inches,FWD
SKODA,Petrol,150 PS or 148 bhp or 110 kW @ 5000-6000 rpm,250 Nm or 184 lb.ft @ 1500-3500 rpm,50 L 11 UK gallons 13.2 US gallons,1277 kgOR2815 lbs,216 km/h or 134 Mph,466.7 cm or 183.74 inches,181.4 cmor 71.42 inches,146.5 cmor 57.68 inches,FWD
