Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
SMART,Petrol,71 PS or 70 bhp or 52 kW @ 6000 rpm,91 Nm or 67 lb.ft @ 2850 rpm,28 L 6.2 UK gallons 7.4 US gallons,940 kgOR2072 lbs,151 km/h or 94 Mph,269.5 cm or 106.1 inches,166.3 cmor 65.47 inches,155.5 cmor 61.22 inches,RWD
SMART,Petrol,71 PS or 70 bhp or 52 kW @ 6000 rpm,91 Nm or 67 lb.ft @ 2850 rpm,28 L 6.2 UK gallons 7.4 US gallons,975 kgOR2150 lbs,151 km/h or 94 Mph,269.5 cm or 106.1 inches,166.3 cmor 65.47 inches,155.5 cmor 61.22 inches,RWD
SMART,Petrol,90 PS or 89 bhp or 66 kW @ 5500 rpm,135 Nm or 99 lb.ft @ 2500 rpm,28 L 6.2 UK gallons 7.4 US gallons,960 kgOR2116 lbs,155 km/h or 96 Mph,269.5 cm or 106.1 inches,166.3 cmor 65.47 inches,155.5 cmor 61.22 inches,RWD
SMART,Petrol,90 PS or 89 bhp or 66 kW @ 5500 rpm,135 Nm or 99 lb.ft @ 2500 rpm,28 L 6.2 UK gallons 7.4 US gallons,- kgOR- lbs,155 km/h or 96 Mph,269.5 cm or 106.1 inches,166.3 cmor 65.47 inches,155.5 cmor 61.22 inches,RWD
SMART,Petrol,71 PS or 70 bhp or 52 kW @ 5800 rpm,92 Nm or 67 lb.ft @ 2800 rpm,33 L 7.3 UK gallons 8.7 US gallons,855 kgOR1885 lbs,145 km/h or 90 Mph,269.5 cm or 106.1 inches,155.9 cmor 61.38 inches,156.5 cmor 61.61 inches,RWD
SMART,Petrol,109 PS or 108 bhp or 80 kW @ 5750 rpm,170 Nm or 125 lb.ft @ 2000 rpm,28 L 6.2 UK gallons 7.4 US gallons,- kgOR- lbs,165 km/h or 103 Mph,269.5 cm or 106.1 inches,166.3 cmor 65.47 inches,155.2 cmor 61.1 inches,RWD
SMART,Petrol,71 PS or 70 bhp or 52 kW @ -- rpm,91 Nm or 67 lb.ft @ 2850 rpm,28 L 6.2 UK gallons 7.4 US gallons,880 kgOR1940 lbs,151 km/h or 94 Mph,269.5 cm or 106.1 inches,166.3 cmor 65.47 inches,155.5 cmor 61.22 inches,RWD
SMART,Petrol,90 PS or 89 bhp or 66 kW @ 5500 rpm,135 Nm or 99 lb.ft @ 2500 rpm,28 L 6.2 UK gallons 7.4 US gallons,900 kgOR1984 lbs,155 km/h or 96 Mph,269.5 cm or 106.1 inches,166.3 cmor 65.47 inches,155.5 cmor 61.22 inches,RWD
SMART,Petrol,71 PS or 70 bhp or 52 kW @ 6000 rpm,91 Nm or 67 lb.ft @ 2850 rpm,28 L 6.2 UK gallons 7.4 US gallons,935 kgOR2061 lbs,151 km/h or 94 Mph,269.5 cm or 106.1 inches,166.3 cmor 65.47 inches,155.5 cmor 61.22 inches,RWD
SMART,Petrol,90 PS or 89 bhp or 66 kW @ 5500 rpm,135 Nm or 99 lb.ft @ 2500 rpm,35 L 7.7 UK gallons 9.2 US gallons,940 kgOR2072 lbs,155 km/h or 96 Mph,269.5 cm or 106.1 inches,166.3 cmor 65.47 inches,155.5 cmor 61.22 inches,RWD
SMART,Petrol,61 PS or 60 bhp or 45 kW @ 6000 rpm,91 Nm or 67 lb.ft @ 2850 rpm,28 L 6.2 UK gallons 7.4 US gallons,885 kgOR1951 lbs,151 km/h or 94 Mph,269.5 cm or 106.1 inches,166.3 cmor 65.47 inches,155.5 cmor 61.22 inches,RWD
SMART,Petrol,109 PS or 108 bhp or 80 kW @ 5750 rpm,170 Nm or 125 lb.ft @ 2000 rpm,28 L 6.2 UK gallons 7.4 US gallons,- kgOR- lbs,165 km/h or 103 Mph,269.5 cm or 106.1 inches,166.3 cmor 65.47 inches,155.5 cmor 61.22 inches,RWD
SMART,Petrol,71 PS or 70 bhp or 52 kW @ -- rpm,91 Nm or 67 lb.ft @ 2850 rpm,28 L 6.2 UK gallons 7.4 US gallons,975 kgOR2150 lbs,151 km/h or 94 Mph,349.5 cm or 137.6 inches,166.5 cmor 65.55 inches,155.4 cmor 61.18 inches,RWD
SMART,Petrol,90 PS or 89 bhp or 66 kW @ 5500 rpm,135 Nm or 99 lb.ft @ 2500 rpm,28 L 6.2 UK gallons 7.4 US gallons,- kgOR- lbs,165 km/h or 103 Mph,349.5 cm or 137.6 inches,166.5 cmor 65.55 inches,155.4 cmor 61.18 inches,RWD
SMART,Petrol,71 PS or 70 bhp or 52 kW @ 6000 rpm,91 Nm or 67 lb.ft @ 2850 rpm,28 L 6.2 UK gallons 7.4 US gallons,975 kgOR2150 lbs,151 km/h or 94 Mph,349.5 cm or 137.6 inches,166.5 cmor 65.55 inches,155.4 cmor 61.18 inches,RWD
SMART,Petrol,90 PS or 89 bhp or 66 kW @ 5500 rpm,135 Nm or 99 lb.ft @ 2500 rpm,28 L 6.2 UK gallons 7.4 US gallons,1025 kgOR2260 lbs,165 km/h or 103 Mph,349.5 cm or 137.6 inches,166.5 cmor 65.55 inches,155.4 cmor 61.18 inches,RWD
SMART,Petrol,61 PS or 60 bhp or 45 kW @ 6000 rpm,91 Nm or 67 lb.ft @ 2850 rpm,28 L 6.2 UK gallons 7.4 US gallons,970 kgOR2138 lbs,151 km/h or 94 Mph,349.5 cm or 137.6 inches,166.5 cmor 65.55 inches,155.4 cmor 61.18 inches,RWD
SMART,Petrol,109 PS or 108 bhp or 80 kW @ 5750 rpm,170 Nm or 125 lb.ft @ 2000 rpm,28 L 6.2 UK gallons 7.4 US gallons,- kgOR- lbs,180 km/h or 112 Mph,349.5 cm or 137.6 inches,166.5 cmor 65.55 inches,155.4 cmor 61.18 inches,RWD
SMART,Petrol,102 PS or 101 bhp or 75 kW @ 6000 rpm,147 Nm or 108 lb.ft @ 2500-3600 rpm,33 L 7.3 UK gallons 8.7 US gallons,895 kgOR1973 lbs,155 km/h or 96 Mph,269.5 cm or 106.1 inches,155.9 cmor 61.38 inches,155.5 cmor 61.22 inches,RWD
SMART,Petrol,84 PS or 83 bhp or 62 kW @ 5250 rpm,120 Nm or 88 lb.ft @ 2000-4750 rpm,33 L 7.3 UK gallons 8.7 US gallons,875 kgOR1929 lbs,145 km/h or 90 Mph,269.5 cm or 106.1 inches,155.9 cmor 61.38 inches,156.5 cmor 61.61 inches,RWD
SMART,Petrol,71 PS or 70 bhp or 52 kW @ 5800 rpm,92 Nm or 67 lb.ft @ 2800 rpm,33 L 7.3 UK gallons 8.7 US gallons,855 kgOR1885 lbs,145 km/h or 90 Mph,269.5 cm or 106.1 inches,155.9 cmor 61.38 inches,156.5 cmor 61.61 inches,RWD
SMART,Petrol,71 PS or 70 bhp or 52 kW @ 5800 rpm,92 Nm or 67 lb.ft @ 2800 rpm,33 L 7.3 UK gallons 8.7 US gallons,855 kgOR1885 lbs,145 km/h or 90 Mph,269.5 cm or 106.1 inches,155.9 cmor 61.38 inches,156.5 cmor 61.61 inches,RWD
SMART,Petrol,84 PS or 83 bhp or 62 kW @ 5250 rpm,120 Nm or 88 lb.ft @ 2000-4750 rpm,33 L 7.3 UK gallons 8.7 US gallons,875 kgOR1929 lbs,145 km/h or 90 Mph,269.5 cm or 106.1 inches,155.9 cmor 61.38 inches,156.5 cmor 61.61 inches,RWD
SMART,Petrol,102 PS or 101 bhp or 75 kW @ 6000 rpm,147 Nm or 108 lb.ft @ 2500-3600 rpm,33 L 7.3 UK gallons 8.7 US gallons,895 kgOR1973 lbs,155 km/h or 96 Mph,269.5 cm or 106.1 inches,155.9 cmor 61.38 inches,155.5 cmor 61.22 inches,RWD
