Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
SUBARU,Petrol,156 PS or 154 bhp or 115 kW @ -- rpm,196 Nm or 144 lb.ft @ -- rpm,60 L 13.2 UK gallons 15.9 US gallons,- kgOR- lbs,- km/h or - Mph,446.5 cm or 175.79 inches,180 cmor 70.87 inches,159.5 cmor 62.8 inches,AWD
SUBARU,Petrol,241 PS or 238 bhp or 177 kW @ 5600 rpm,350 Nm or 258 lb.ft @ 2400-3600 rpm,60 L 13.2 UK gallons 15.9 US gallons,1690 kgOR3726 lbs,221 km/h or 137 Mph,459.5 cm or 180.91 inches,179.5 cmor 70.67 inches,173.5 cmor 68.31 inches,AWD
SUBARU,Petrol,150 PS or 148 bhp or 110 kW @ 6200 rpm,198 Nm or 146 lb.ft @ 4200 rpm,60 L 13.2 UK gallons 15.9 US gallons,1580 kgOR3483 lbs,192 km/h or 119 Mph,459.5 cm or 180.91 inches,179.5 cmor 70.67 inches,173.5 cmor 68.31 inches,AWD
SUBARU,Petrol,150 PS or 148 bhp or 110 kW @ 6200 rpm,198 Nm or 146 lb.ft @ 4200 rpm,60 L 13.2 UK gallons 15.9 US gallons,1580 kgOR3483 lbs,192 km/h or 119 Mph,459.5 cm or 180.91 inches,179.5 cmor 70.67 inches,173.5 cmor 68.31 inches,AWD
SUBARU,Petrol,150 PS or 148 bhp or 110 kW @ 6200 rpm,198 Nm or 146 lb.ft @ 4200 rpm,60 L 13.2 UK gallons 15.9 US gallons,1582 kgOR3488 lbs,192 km/h or 119 Mph,459.5 cm or 180.91 inches,179.5 cmor 70.67 inches,173.5 cmor 68.31 inches,AWD
SUBARU,Diesel,147 PS or 145 bhp or 108 kW @ 3600 rpm,350 Nm or 258 lb.ft @ 1600-2400 rpm,60 L 13.2 UK gallons 15.9 US gallons,1711 kgOR3772 lbs,188 km/h or 117 Mph,459.5 cm or 180.91 inches,179.5 cmor 70.67 inches,173.5 cmor 68.31 inches,AWD
SUBARU,Diesel,147 PS or 145 bhp or 108 kW @ 3600 rpm,350 Nm or 258 lb.ft @ 1600-2400 rpm,60 L 13.2 UK gallons 15.9 US gallons,1697 kgOR3741 lbs,188 km/h or 117 Mph,459.5 cm or 180.91 inches,179.5 cmor 70.67 inches,173.5 cmor 68.31 inches,AWD
SUBARU,Diesel,147 PS or 145 bhp or 108 kW @ 3600 rpm,350 Nm or 258 lb.ft @ 1600-2400 rpm,60 L 13.2 UK gallons 15.9 US gallons,1697 kgOR3741 lbs,188 km/h or 117 Mph,459.5 cm or 180.91 inches,179.5 cmor 70.67 inches,173.5 cmor 68.31 inches,AWD
SUBARU,Diesel,147 PS or 145 bhp or 108 kW @ 3600 rpm,350 Nm or 258 lb.ft @ 1600-2400 rpm,60 L 13.2 UK gallons 15.9 US gallons,1690 kgOR3726 lbs,188 km/h or 117 Mph,459.5 cm or 180.91 inches,179.5 cmor 70.67 inches,173.5 cmor 68.31 inches,AWD
SUBARU,Diesel,147 PS or 145 bhp or 108 kW @ 3600 rpm,350 Nm or 258 lb.ft @ 1600-2400 rpm,60 L 13.2 UK gallons 15.9 US gallons,1657 kgOR3653 lbs,190 km/h or 118 Mph,459.5 cm or 180.91 inches,179.5 cmor 70.67 inches,173.5 cmor 68.31 inches,AWD
SUBARU,Diesel,147 PS or 145 bhp or 108 kW @ 3600 rpm,350 Nm or 258 lb.ft @ 1600-2400 rpm,60 L 13.2 UK gallons 15.9 US gallons,1643 kgOR3622 lbs,190 km/h or 118 Mph,459.5 cm or 180.91 inches,179.5 cmor 70.67 inches,173.5 cmor 68.31 inches,AWD
SUBARU,Diesel,147 PS or 145 bhp or 108 kW @ 3600 rpm,350 Nm or 258 lb.ft @ 1600-2400 rpm,60 L 13.2 UK gallons 15.9 US gallons,1643 kgOR3622 lbs,190 km/h or 118 Mph,459.5 cm or 180.91 inches,179.5 cmor 70.67 inches,173.5 cmor 68.31 inches,AWD
SUBARU,Diesel,147 PS or 145 bhp or 108 kW @ 3600 rpm,350 Nm or 258 lb.ft @ 1600-2400 rpm,60 L 13.2 UK gallons 15.9 US gallons,1627 kgOR3587 lbs,190 km/h or 118 Mph,459.5 cm or 180.91 inches,179.5 cmor 70.67 inches,173.5 cmor 68.31 inches,AWD
SUBARU,Petrol,175 PS or 173 bhp or 129 kW @ 5800 rpm,235 Nm or 173 lb.ft @ 4000 rpm,60 L 13.2 UK gallons 15.9 US gallons,1657 kgOR3653 lbs,198 km/h or 123 Mph,481.5 cm or 189.57 inches,184 cmor 72.44 inches,160.5 cmor 63.19 inches,AWD
SUBARU,Petrol,175 PS or 173 bhp or 129 kW @ 5800 rpm,235 Nm or 173 lb.ft @ 4000 rpm,60 L 13.2 UK gallons 15.9 US gallons,1657 kgOR3653 lbs,198 km/h or 123 Mph,481.5 cm or 189.57 inches,184 cmor 72.44 inches,160.5 cmor 63.19 inches,AWD
SUBARU,Petrol,175 PS or 173 bhp or 129 kW @ 5800 rpm,235 Nm or 173 lb.ft @ 4000 rpm,60 L 13.2 UK gallons 15.9 US gallons,1657 kgOR3653 lbs,198 km/h or 123 Mph,481.5 cm or 189.57 inches,184 cmor 72.44 inches,160.5 cmor 63.19 inches,AWD
SUBARU,Diesel,150 PS or 148 bhp or 110 kW @ 3600 rpm,350 Nm or 258 lb.ft @ 1600-2800 rpm,60 L 13.2 UK gallons 15.9 US gallons,1695 kgOR3737 lbs,200 km/h or 124 Mph,481.5 cm or 189.57 inches,184 cmor 72.44 inches,160.5 cmor 63.19 inches,AWD
SUBARU,Diesel,150 PS or 148 bhp or 110 kW @ 3600 rpm,350 Nm or 258 lb.ft @ 1600-2800 rpm,60 L 13.2 UK gallons 15.9 US gallons,1695 kgOR3737 lbs,200 km/h or 124 Mph,481.5 cm or 189.57 inches,184 cmor 72.44 inches,160.5 cmor 63.19 inches,AWD
SUBARU,Diesel,150 PS or 148 bhp or 110 kW @ 3600 rpm,350 Nm or 258 lb.ft @ 1600-2800 rpm,60 L 13.2 UK gallons 15.9 US gallons,1751 kgOR3860 lbs,192 km/h or 119 Mph,481.5 cm or 189.57 inches,184 cmor 72.44 inches,160.5 cmor 63.19 inches,AWD
SUBARU,Petrol,170 PS or 168 bhp or 125 kW @ 4800-5600 rpm,250 Nm or 184 lb.ft @ 1800-4800 rpm,60 L 13.2 UK gallons 15.9 US gallons,1626 kgOR3585 lbs,210 km/h or 131 Mph,469 cm or 184.65 inches,178 cmor 70.08 inches,149 cmor 58.66 inches,AWD
SUBARU,Petrol,150 PS or 148 bhp or 110 kW @ 6200 rpm,198 Nm or 146 lb.ft @ 4200 rpm,60 L 13.2 UK gallons 15.9 US gallons,1577 kgOR3477 lbs,192 km/h or 119 Mph,459.5 cm or 180.91 inches,179.5 cmor 70.67 inches,173.5 cmor 68.31 inches,AWD
SUBARU,Petrol,150 PS or 148 bhp or 110 kW @ 6200 rpm,198 Nm or 146 lb.ft @ 4200 rpm,60 L 13.2 UK gallons 15.9 US gallons,1577 kgOR3477 lbs,192 km/h or 119 Mph,459.5 cm or 180.91 inches,179.5 cmor 70.67 inches,173.5 cmor 68.31 inches,AWD
SUBARU,Petrol,150 PS or 148 bhp or 110 kW @ 6200 rpm,198 Nm or 146 lb.ft @ 4200 rpm,60 L 13.2 UK gallons 15.9 US gallons,1577 kgOR3477 lbs,192 km/h or 119 Mph,459.5 cm or 180.91 inches,179.5 cmor 70.67 inches,173.5 cmor 68.31 inches,AWD
SUBARU,Petrol,241 PS or 238 bhp or 177 kW @ 5600 rpm,350 Nm or 258 lb.ft @ 2400-3600 rpm,60 L 13.2 UK gallons 15.9 US gallons,1688 kgOR3721 lbs,221 km/h or 137 Mph,459.5 cm or 180.91 inches,179.5 cmor 70.67 inches,173.5 cmor 68.31 inches,AWD
SUBARU,Diesel,147 PS or 145 bhp or 108 kW @ 3600 rpm,350 Nm or 258 lb.ft @ 1600-2400 rpm,60 L 13.2 UK gallons 15.9 US gallons,1631 kgOR3596 lbs,192 km/h or 119 Mph,459.5 cm or 180.91 inches,179.5 cmor 70.67 inches,173.5 cmor 68.31 inches,AWD
SUBARU,Diesel,147 PS or 145 bhp or 108 kW @ 3600 rpm,350 Nm or 258 lb.ft @ 1600-2400 rpm,60 L 13.2 UK gallons 15.9 US gallons,1631 kgOR3596 lbs,192 km/h or 119 Mph,459.5 cm or 180.91 inches,179.5 cmor 70.67 inches,173.5 cmor 68.31 inches,AWD
SUBARU,Diesel,147 PS or 145 bhp or 108 kW @ 3600 rpm,350 Nm or 258 lb.ft @ 1600-2400 rpm,60 L 13.2 UK gallons 15.9 US gallons,1631 kgOR3596 lbs,192 km/h or 119 Mph,459.5 cm or 180.91 inches,179.5 cmor 70.67 inches,173.5 cmor 68.31 inches,AWD
SUBARU,Diesel,147 PS or 145 bhp or 108 kW @ 3600 rpm,350 Nm or 258 lb.ft @ 1600-2400 rpm,60 L 13.2 UK gallons 15.9 US gallons,1615 kgOR3560 lbs,192 km/h or 119 Mph,459.5 cm or 180.91 inches,179.5 cmor 70.67 inches,173.5 cmor 68.31 inches,AWD
SUBARU,Diesel,147 PS or 145 bhp or 108 kW @ 3600 rpm,350 Nm or 258 lb.ft @ 1600-2400 rpm,60 L 13.2 UK gallons 15.9 US gallons,1697 kgOR3741 lbs,188 km/h or 117 Mph,459.5 cm or 180.91 inches,179.5 cmor 70.67 inches,173.5 cmor 68.31 inches,AWD
SUBARU,Diesel,147 PS or 145 bhp or 108 kW @ 3600 rpm,350 Nm or 258 lb.ft @ 1600-2400 rpm,60 L 13.2 UK gallons 15.9 US gallons,1697 kgOR3741 lbs,188 km/h or 117 Mph,459.5 cm or 180.91 inches,179.5 cmor 70.67 inches,173.5 cmor 68.31 inches,AWD
SUBARU,Diesel,147 PS or 145 bhp or 108 kW @ 3600 rpm,350 Nm or 258 lb.ft @ 1600-2400 rpm,60 L 13.2 UK gallons 15.9 US gallons,1690 kgOR3726 lbs,188 km/h or 117 Mph,459.5 cm or 180.91 inches,179.5 cmor 70.67 inches,173.5 cmor 68.31 inches,AWD
SUBARU,Diesel,147 PS or 145 bhp or 108 kW @ 3600 rpm,350 Nm or 258 lb.ft @ 1600-2400 rpm,60 L 13.2 UK gallons 15.9 US gallons,1657 kgOR3653 lbs,190 km/h or 118 Mph,459.5 cm or 180.91 inches,179.5 cmor 70.67 inches,173.5 cmor 68.31 inches,AWD
SUBARU,Diesel,147 PS or 145 bhp or 108 kW @ 3600 rpm,350 Nm or 258 lb.ft @ 1600-2400 rpm,60 L 13.2 UK gallons 15.9 US gallons,1643 kgOR3622 lbs,190 km/h or 118 Mph,459.5 cm or 180.91 inches,179.5 cmor 70.67 inches,173.5 cmor 68.31 inches,AWD
SUBARU,Diesel,147 PS or 145 bhp or 108 kW @ 3600 rpm,350 Nm or 258 lb.ft @ 1600-2400 rpm,60 L 13.2 UK gallons 15.9 US gallons,1643 kgOR3622 lbs,190 km/h or 118 Mph,459.5 cm or 180.91 inches,179.5 cmor 70.67 inches,173.5 cmor 68.31 inches,AWD
SUBARU,Diesel,147 PS or 145 bhp or 108 kW @ 3600 rpm,350 Nm or 258 lb.ft @ 1600-2400 rpm,60 L 13.2 UK gallons 15.9 US gallons,1627 kgOR3587 lbs,190 km/h or 118 Mph,459.5 cm or 180.91 inches,179.5 cmor 70.67 inches,173.5 cmor 68.31 inches,AWD
