Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
TOYOTA,Petrol,69 PS or 68 bhp or 51 kW @ 6000 rpm,95 Nm or 70 lb.ft @ 4300 rpm,42 L 9.2 UK gallons 11.1 US gallons,- kgOR- lbs,155 km/h or 96 Mph,394.5 cm or 155.31 inches,169.5 cmor 66.73 inches,151 cmor 59.45 inches,FWD
TOYOTA,Petrol,111 PS or 109 bhp or 82 kW @ 6000 rpm,136 Nm or 100 lb.ft @ 4400 rpm,42 L 9.2 UK gallons 11.1 US gallons,- kgOR- lbs,175 km/h or 109 Mph,394.5 cm or 155.31 inches,169.5 cmor 66.73 inches,151 cmor 59.45 inches,FWD
TOYOTA,Petrol,111 PS or 109 bhp or 82 kW @ 6000 rpm,136 Nm or 100 lb.ft @ 4400 rpm,42 L 9.2 UK gallons 11.1 US gallons,- kgOR- lbs,175 km/h or 109 Mph,394.5 cm or 155.31 inches,169.5 cmor 66.73 inches,151 cmor 59.45 inches,FWD
TOYOTA,Petrol,69 PS or 68 bhp or 51 kW @ 6000 rpm,95 Nm or 70 lb.ft @ 4300 rpm,42 L 9.2 UK gallons 11.1 US gallons,- kgOR- lbs,155 km/h or 96 Mph,394.5 cm or 155.31 inches,169.5 cmor 66.73 inches,151 cmor 59.45 inches,FWD
TOYOTA,Petrol,111 PS or 109 bhp or 82 kW @ 6000 rpm,136 Nm or 100 lb.ft @ 4400 rpm,42 L 9.2 UK gallons 11.1 US gallons,- kgOR- lbs,175 km/h or 109 Mph,394.5 cm or 155.31 inches,169.5 cmor 66.73 inches,151 cmor 59.45 inches,FWD
TOYOTA,Petrol,111 PS or 109 bhp or 82 kW @ 6000 rpm,136 Nm or 100 lb.ft @ 4400 rpm,42 L 9.2 UK gallons 11.1 US gallons,- kgOR- lbs,175 km/h or 109 Mph,394.5 cm or 155.31 inches,169.5 cmor 66.73 inches,151 cmor 59.45 inches,FWD
TOYOTA,Diesel,150 PS or 148 bhp or 110 kW @ 3400 rpm,400 Nm or 295 lb.ft @ 1600-2000 rpm,80 L 17.6 UK gallons 21.1 US gallons,1875 kgOR4134 lbs,170 km/h or 106 Mph,533 cm or 209.84 inches,180 cmor 70.87 inches,179.5 cmor 70.67 inches,AWD
TOYOTA,Diesel,150 PS or 148 bhp or 110 kW @ 3400 rpm,400 Nm or 295 lb.ft @ 1600-2000 rpm,80 L 17.6 UK gallons 21.1 US gallons,1775 kgOR3913 lbs,175 km/h or 109 Mph,533 cm or 209.84 inches,180 cmor 70.87 inches,179.5 cmor 70.67 inches,RWD
TOYOTA,Diesel,150 PS or 148 bhp or 110 kW @ 3400 rpm,400 Nm or 295 lb.ft @ 1600-2000 rpm,80 L 17.6 UK gallons 21.1 US gallons,1990 kgOR4387 lbs,170 km/h or 106 Mph,535 cm or 210.63 inches,185.5 cmor 73.03 inches,185.5 cmor 73.03 inches,RWD
TOYOTA,Diesel,150 PS or 148 bhp or 110 kW @ 3400 rpm,400 Nm or 295 lb.ft @ 1600-2000 rpm,80 L 17.6 UK gallons 21.1 US gallons,2125 kgOR4685 lbs,170 km/h or 106 Mph,535 cm or 210.63 inches,185.5 cmor 73.03 inches,185.5 cmor 73.03 inches,AWD
TOYOTA,Diesel,150 PS or 148 bhp or 110 kW @ 3400 rpm,400 Nm or 295 lb.ft @ 1600-2000 rpm,80 L 17.6 UK gallons 21.1 US gallons,2115 kgOR4663 lbs,170 km/h or 106 Mph,535 cm or 210.63 inches,185.5 cmor 73.03 inches,185.5 cmor 73.03 inches,AWD
TOYOTA,Petrol,122 PS or 120 bhp or 90 kW @ 5200 rpm,- Nm or - lb.ft @ - rpm,43 L 9.5 UK gallons 11.4 US gallons,1455 kgOR3208 lbs,170 km/h or 106 Mph,436 cm or 171.65 inches,179.5 cmor 70.67 inches,155.5 cmor 61.22 inches,FWD
