Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
VOLKSWAGEN,Petrol,179 PS or 177 bhp or 132 kW @ 4500-6200 rpm,280 Nm or 206 lb.ft @ 1350-4500 rpm,55 L 12.1 UK gallons 14.5 US gallons,1537 kgOR3389 lbs,217 km/h or 135 Mph,456.7 cm or 179.8 inches,179.9 cmor 70.83 inches,151.5 cmor 59.65 inches,AWD
VOLKSWAGEN,Diesel,150 PS or 148 bhp or 110 kW @ 3500-4000 rpm,340 Nm or 250 lb.ft @ 1750-3000 rpm,55 L 12.1 UK gallons 14.5 US gallons,1541 kgOR3397 lbs,207 km/h or 129 Mph,456.7 cm or 179.8 inches,179.9 cmor 70.83 inches,151.5 cmor 59.65 inches,AWD
VOLKSWAGEN,Diesel,184 PS or 181 bhp or 135 kW @ 3500-4000 rpm,380 Nm or 280 lb.ft @ 1750-3250 rpm,55 L 12.1 UK gallons 14.5 US gallons,1576 kgOR3474 lbs,219 km/h or 136 Mph,456.7 cm or 179.8 inches,179.9 cmor 70.83 inches,151.5 cmor 59.65 inches,AWD
VOLKSWAGEN,Diesel,204 PS or 201 bhp or 150 kW @ 3000-4500 rpm,500 Nm or 368 lb.ft @ 1250-3000 rpm,80 L 17.6 UK gallons 21.1 US gallons,2128 kgOR4691 lbs,186 km/h or 116 Mph,532.1 cm or 209.49 inches,195.4 cmor 76.93 inches,183.4 cmor 72.2 inches,AWD
VOLKSWAGEN,Diesel,224 PS or 221 bhp or 165 kW @ 3000-4500 rpm,550 Nm or 405 lb.ft @ 1400-2750 rpm,80 L 17.6 UK gallons 21.1 US gallons,2078 kgOR4581 lbs,193 km/h or 120 Mph,532.1 cm or 209.49 inches,195.4 cmor 76.93 inches,183.4 cmor 72.2 inches,AWD
VOLKSWAGEN,Petrol,150 PS or 148 bhp or 110 kW @ 5000-6000 rpm,250 Nm or 184 lb.ft @ 1500-3500 rpm,50 L 11 UK gallons 13.2 US gallons,- kgOR- lbs,216 km/h or 134 Mph,425.8 cm or 167.64 inches,179 cmor 70.47 inches,149.2 cmor 58.74 inches,FWD
VOLKSWAGEN,Petrol,150 PS or 148 bhp or 110 kW @ 5000-6000 rpm,250 Nm or 184 lb.ft @ 1500-3500 rpm,50 L 11 UK gallons 13.2 US gallons,- kgOR- lbs,216 km/h or 134 Mph,425.8 cm or 167.64 inches,179 cmor 70.47 inches,149.2 cmor 58.74 inches,FWD
VOLKSWAGEN,Petrol,110 PS or 109 bhp or 81 kW @ 5000-5500 rpm,200 Nm or 147 lb.ft @ 2000-3500 rpm,50 L 11 UK gallons 13.2 US gallons,- kgOR- lbs,196 km/h or 122 Mph,425.8 cm or 167.64 inches,179 cmor 70.47 inches,149.2 cmor 58.74 inches,FWD
VOLKSWAGEN,Petrol,110 PS or 109 bhp or 81 kW @ 5000-5500 rpm,200 Nm or 147 lb.ft @ 2000-3500 rpm,50 L 11 UK gallons 13.2 US gallons,- kgOR- lbs,196 km/h or 122 Mph,425.8 cm or 167.64 inches,179 cmor 70.47 inches,149.2 cmor 58.74 inches,FWD
VOLKSWAGEN,Petrol,230 PS or 227 bhp or 169 kW @ 4700-6200 rpm,350 Nm or 258 lb.ft @ 1500-4600 rpm,50 L 11 UK gallons 13.2 US gallons,- kgOR- lbs,248 km/h or 154 Mph,425.8 cm or 167.64 inches,179 cmor 70.47 inches,149.2 cmor 58.74 inches,FWD
