Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
VOLVO,Petrol,254 PS or 251 bhp or 187 kW @ 5500 rpm,350 Nm or 258 lb.ft @ 1500-4800 rpm,60 L 13.2 UK gallons 15.9 US gallons,1926 kgOR4246 lbs,220 km/h or 137 Mph,468.8 cm or 184.57 inches,190.2 cmor 74.88 inches,165.8 cmor 65.28 inches,AWD
VOLVO,Petrol,320 PS or 316 bhp or 235 kW @ 5700 rpm,400 Nm or 295 lb.ft @ 2200-5400 rpm,71 L 15.6 UK gallons 18.8 US gallons,2002 kgOR4414 lbs,230 km/h or 143 Mph,468.8 cm or 184.57 inches,190.2 cmor 74.88 inches,165.8 cmor 65.28 inches,AWD
VOLVO,Petrol,320 PS or 316 bhp or 235 kW @ 5700 rpm,400 Nm or 295 lb.ft @ 2200-5400 rpm,50 L 11 UK gallons 13.2 US gallons,- kgOR- lbs,230 km/h or 143 Mph,468.8 cm or 184.57 inches,190.2 cmor 74.88 inches,165.8 cmor 65.28 inches,AWD
VOLVO,Diesel,190 PS or 187 bhp or 140 kW @ 4250 rpm,400 Nm or 295 lb.ft @ 1750-2500 rpm,60 L 13.2 UK gallons 15.9 US gallons,1971 kgOR4345 lbs,205 km/h or 127 Mph,468.8 cm or 184.57 inches,190.2 cmor 74.88 inches,165.8 cmor 65.28 inches,AWD
VOLVO,Diesel,235 PS or 232 bhp or 173 kW @ 4000 rpm,480 Nm or 354 lb.ft @ 1750-2250 rpm,71 L 15.6 UK gallons 18.8 US gallons,1990 kgOR4387 lbs,220 km/h or 137 Mph,468.8 cm or 184.57 inches,190.2 cmor 74.88 inches,165.8 cmor 65.28 inches,AWD
VOLVO,Petrol,152 PS or 150 bhp or 112 kW @ 5000 rpm,250 Nm or 184 lb.ft @ 1300-4000 rpm,62 L 13.6 UK gallons 16.4 US gallons,- kgOR- lbs,210 km/h or 131 Mph,437 cm or 172.05 inches,178.3 cmor 70.2 inches,145.8 cmor 57.4 inches,FWD
VOLVO,Petrol,152 PS or 150 bhp or 112 kW @ 5000 rpm,250 Nm or 184 lb.ft @ 1700-4000 rpm,62 L 13.6 UK gallons 16.4 US gallons,- kgOR- lbs,210 km/h or 131 Mph,437 cm or 172.05 inches,178.3 cmor 70.2 inches,145.8 cmor 57.4 inches,FWD
VOLVO,Petrol,190 PS or 187 bhp or 140 kW @ 4700 rpm,300 Nm or 221 lb.ft @ 1300-4000 rpm,62 L 13.6 UK gallons 16.4 US gallons,- kgOR- lbs,210 km/h or 131 Mph,437 cm or 172.05 inches,178.3 cmor 70.2 inches,145.8 cmor 57.4 inches,FWD
VOLVO,Petrol,190 PS or 187 bhp or 140 kW @ 4700 rpm,300 Nm or 221 lb.ft @ 1300-4000 rpm,62 L 13.6 UK gallons 16.4 US gallons,- kgOR- lbs,210 km/h or 131 Mph,437 cm or 172.05 inches,178.3 cmor 70.2 inches,145.8 cmor 57.4 inches,FWD
VOLVO,Petrol,190 PS or 187 bhp or 140 kW @ 5000 rpm,320 Nm or 236 lb.ft @ 1500-4000 rpm,57 L 12.5 UK gallons 15.1 US gallons,- kgOR- lbs,210 km/h or 131 Mph,437 cm or 172.05 inches,178.3 cmor 70.2 inches,145.8 cmor 57.4 inches,AWD
VOLVO,Petrol,245 PS or 242 bhp or 180 kW @ 5500 rpm,350 Nm or 258 lb.ft @ 1500-4800 rpm,57 L 12.5 UK gallons 15.1 US gallons,- kgOR- lbs,210 km/h or 131 Mph,437 cm or 172.05 inches,178.3 cmor 70.2 inches,145.8 cmor 57.4 inches,AWD
VOLVO,Diesel,190 PS or 187 bhp or 140 kW @ 4250 rpm,400 Nm or 295 lb.ft @ 1750-2500 rpm,62 L 13.6 UK gallons 16.4 US gallons,- kgOR- lbs,210 km/h or 131 Mph,437 cm or 172.05 inches,178.3 cmor 70.2 inches,145.8 cmor 57.4 inches,FWD
VOLVO,Diesel,150 PS or 148 bhp or 110 kW @ 3750 rpm,320 Nm or 236 lb.ft @ 1750-3000 rpm,62 L 13.6 UK gallons 16.4 US gallons,- kgOR- lbs,210 km/h or 131 Mph,437 cm or 172.05 inches,178.3 cmor 70.2 inches,145.8 cmor 57.4 inches,FWD
VOLVO,Diesel,150 PS or 148 bhp or 110 kW @ 3750 rpm,320 Nm or 236 lb.ft @ 1750-3000 rpm,62 L 13.6 UK gallons 16.4 US gallons,- kgOR- lbs,210 km/h or 131 Mph,437 cm or 172.05 inches,178.3 cmor 70.2 inches,145.8 cmor 57.4 inches,FWD
VOLVO,Diesel,120 PS or 118 bhp or 88 kW @ 3750 rpm,280 Nm or 206 lb.ft @ 1500-2250 rpm,62 L 13.6 UK gallons 16.4 US gallons,- kgOR- lbs,190 km/h or 118 Mph,437 cm or 172.05 inches,178.3 cmor 70.2 inches,145.8 cmor 57.4 inches,FWD
